priority_rank,url,page_type,action,primary_keyword,supporting_keywords,search_intent,monthly_volume,business_purpose,estimated_effort,wave
1,/plinko,game landing page,Optimize — add SEO content section + FAQ schema,plinko simulator,"plinko demo, free plinko game, plinko game online, plinko unblocked",tool,50000,Drive organic traffic to simulator + casino CTAs,Medium,1
2,/crash,game landing page,Optimize — add SEO content section + FAQ schema,crash game simulator,"crash game, crash gambling, crash casino game",tool,50000,Drive organic traffic to simulator + casino CTAs,Medium,1
3,/mines,game landing page,Optimize — add SEO content section + FAQ schema,mines simulator,"mines demo, free mines game, mines game, mines gamble",tool,50000,Drive organic traffic to simulator + casino CTAs,Medium,1
4,/dice,game landing page,Optimize — add SEO content section + FAQ schema,dice simulator,"dice roll simulator, dice game, dice free, roll a dice",tool,50000,Drive organic traffic to simulator + casino CTAs,Medium,1
5,/roulette,game hub page,Optimize — improve H1 + meta + internal linking,roulette simulator,"roulette demo, free roulette, online roulette, roulette wheel simulator",tool,50000,Hub page for roulette tool ecosystem,Medium,1
6,/keno,game landing page,Optimize — add SEO content section + FAQ schema,keno simulator,"free keno game, keno game online, keno casino, play keno free",tool,5000,Drive organic traffic to simulator + casino CTAs,Medium,1
7,/hilo,game landing page,Optimize — add SEO content section + FAQ schema,hilo simulator,"hilo game, hilo casino game, hi lo casino game",tool,500,Drive organic traffic to simulator + casino CTAs,Low,1
8,/limbo,game landing page,Optimize — add SEO content section + FAQ schema,limbo simulator,"limbo casino, limbo casino game",tool,500,Drive organic traffic to simulator + casino CTAs,Low,1
9,/flip,game landing page,Optimize — add SEO content section,coin flip simulator,"coin flip game, flip gamble",tool,50,Drive organic traffic to simulator + casino CTAs,Low,1
10,/roulette/free-play,roulette tool,Optimize — title + meta,free roulette simulator game,"play roulette free, free roulette game",tool,5000,Capture tool-intent searches,Low,1
11,/roulette/strategy-tester,roulette tool,Optimize — title + meta,roulette strategy tester,"roulette strategy simulator, test roulette strategy",tool,500,Capture strategy-tool searches,Low,1
12,/roulette/odds-calculator,roulette tool,Optimize — title + meta,roulette odds calculator,"roulette probability calculator, roulette payout calculator",tool,500,Capture calculator-intent searches,Low,1
13,/roulette/risk-of-ruin,roulette tool,Optimize — title + meta,roulette risk of ruin calculator,"roulette bankroll calculator, risk of ruin formula",tool,500,Capture advanced calculator searches,Low,1
14,/roulette/simulators/martingale,roulette tool,Optimize — title + meta,martingale roulette simulator,"martingale strategy test, martingale system roulette",strategy,500,Capture strategy-specific searches,Low,1
15,/roulette/simulators/fibonacci,roulette tool,Optimize — title + meta,fibonacci roulette simulator,"fibonacci strategy test, fibonacci system roulette",strategy,500,Capture strategy-specific searches,Low,1
